KRT18,HOXB2,CELSR1,EHF,KLK6,FOLR1,NEK2,WFDC2,OSR2,FOXL2,STAR,SGK1,CLSTN2,ADAMTS5
8.888743249,5.300123725,3.121015401,1.485426827,7.911691582,6.301953395,3.121015401,7.694880193,10.10996121,10.7968508,12.28456387,12.64963791,9.256208689,11.58350592
10.63508323,9.415530524,6.339850003,1.765534746,6.23457796,7.173926932,8.538770938,7.264911693,9.117383367,6.962317655,3.432959407,12.30939109,7.634448062,8.848935856
8.989536421,5.569855608,2.963474124,3.336283388,7.776762002,7.638073837,2.137503524,8.017921908,11.33684125,10.96144969,12.72760143,12.98587751,9.348285542,10.36763316
8.490249211,6.026800059,2.963474124,1.321928095,6.859224162,7.61176256,4.485426827,7.651051691,10.46199095,10.35259523,12.44548049,12.86389587,8.537218401,10.17642251
13.96095219,10.75112558,8.484218708,8.655351829,10.34839621,12.75123021,8.282625134,12.1959873,4.832890014,6.153805336,4.614709844,7.696272084,7.782015335,7.212374788
8.87036472,6.686500527,2.432959407,2.201633861,6.534497434,7.381975479,4.548436625,7.614709844,10.91849059,11.06062839,11.78724961,11.57785364,8.516093963,11.75284056
14.03365529,11.58030568,9.490249211,9.545736753,11.81430207,10.35832153,7.856736756,12.79920066,6.38024459,6.247927513,3.867896464,8.994070528,3.472487771,7.50779464
8.351380981,5.532940288,3.185866545,1.485426827,2.263034406,7.155830172,3.827819025,7.501439145,11.54341855,10.916402,12.94267944,12.8507338,9.201143732,11.27397039
11.22773626,9.449148645,7.335390355,6.352264173,8.826230678,9.621868725,5.14974712,10.59311096,8.222553427,11.20512122,9.420802382,10.71218305,7.906289347,10.3084528
10.8094466,5.332707934,2.925999419,1.847996907,7.227856573,9.122051448,5.916476644,7.5360529,8.548051238,10.42153891,13.69407489,11.50059295,7.55688919,8.94602899
11.55084296,10.87797425,8.832890014,7.354028938,6.23457796,8.755221421,9.658747037,7.731319031,7.00337736,2.678071905,3.292781749,6.978424465,3.655351829,9.608624459
10.68123841,9.660174212,5.43629512,4.666756592,6.543805176,8.089053172,8.8008999,8.829088444,7.729960561,5.004501392,3.765534746,9.817303476,7.795715007,8.500642736
8.430870664,5.240314329,2.232660757,1.070389328,5.87282876,7.619119511,4.560714954,6.961160258,11.57322113,10.91677518,12.34980645,11.72011598,9.368942914,11.56143116
